Item,Response,Participant,Group,Dimension
18,2,198,USA,Purity
19,3,199,USA,Care
20,1,200,USA,Equality
21,4,201,USA,Proportionality
22,5,202,USA,Loyalty
23,3,203,USA,Authority
24,3,204,USA,Purity
25,3,205,USA,Care
26,1,206,USA,Equality
27,5,207,USA,Proportionality
28,4,208,USA,Loyalty
29,5,209,USA,Authority
30,1,210,USA,Purity
31,3,211,USA,Care
32,1,212,USA,Equality
33,5,213,USA,Proportionality
34,2,214,USA,Loyalty
35,5,215,USA,Authority
36,2,216,USA,Purity
1,4,217,USA,Care
2,3,218,USA,Equality
3,4,219,USA,Proportionality
4,4,220,USA,Loyalty
5,4,221,USA,Authority
6,3,222,USA,Purity
7,4,223,USA,Care
8,4,224,USA,Equality
9,4,225,USA,Proportionality
10,4,226,USA,Loyalty
11,4,227,USA,Authority
12,2,228,USA,Purity
13,5,229,USA,Care
14,4,230,USA,Equality
15,3,231,USA,Proportionality
16,4,232,USA,Loyalty
17,4,233,USA,Authority
18,3,234,USA,Purity
19,4,235,USA,Care
20,3,236,USA,Equality
21,4,237,USA,Proportionality
22,4,238,USA,Loyalty
23,4,239,USA,Authority
24,3,240,USA,Purity
25,5,241,USA,Care
26,4,242,USA,Equality
27,3,243,USA,Proportionality
28,4,244,USA,Loyalty
29,4,245,USA,Authority
30,2,246,USA,Purity
31,5,247,USA,Care
32,2,248,USA,Equality
33,3,249,USA,Proportionality
34,4,250,USA,Loyalty
35,5,251,USA,Authority
36,2,252,USA,Purity
1,3,253,USA,Care
2,1,254,USA,Equality
3,4,255,USA,Proportionality
4,5,256,USA,Loyalty
5,5,257,USA,Authority
6,5,258,USA,Purity
7,5,259,USA,Care
8,1,260,USA,Equality
9,4,261,USA,Proportionality
10,5,262,USA,Loyalty
11,4,263,USA,Authority
12,5,264,USA,Purity
13,5,265,USA,Care
14,2,266,USA,Equality
15,4,267,USA,Proportionality
16,5,268,USA,Loyalty
17,5,269,USA,Authority
18,5,270,USA,Purity
19,5,271,USA,Care
20,1,272,USA,Equality
21,5,273,USA,Proportionality
22,5,274,USA,Loyalty
23,5,275,USA,Authority
24,5,276,USA,Purity
25,5,277,USA,Care
26,3,278,USA,Equality
27,4,279,USA,Proportionality
28,5,280,USA,Loyalty
29,5,281,USA,Authority
30,4,282,USA,Purity
31,5,283,USA,Care
32,3,284,USA,Equality
33,5,285,USA,Proportionality
34,5,286,USA,Loyalty
35,5,287,USA,Authority
36,5,288,USA,Purity
1,5,289,USA,Care
2,5,290,USA,Equality
3,5,291,USA,Proportionality
4,1,292,USA,Loyalty
5,1,293,USA,Authority
6,1,294,USA,Purity
7,5,295,USA,Care
8,5,296,USA,Equality
9,5,297,USA,Proportionality
10,1,298,USA,Loyalty
11,3,299,USA,Authority
12,1,300,USA,Purity
13,5,301,USA,Care
14,5,302,USA,Equality
15,4,303,USA,Proportionality
16,1,304,USA,Loyalty
17,3,305,USA,Authority
18,1,306,USA,Purity
19,5,307,USA,Care
20,4,308,USA,Equality
21,4,309,USA,Proportionality
22,1,310,USA,Loyalty
23,5,311,USA,Authority
24,3,312,USA,Purity
25,5,313,USA,Care
26,4,314,USA,Equality
27,4,315,USA,Proportionality
28,2,316,USA,Loyalty
29,3,317,USA,Authority
30,5,318,USA,Purity
31,5,319,USA,Care
32,5,320,USA,Equality
33,5,321,USA,Proportionality
34,5,322,USA,Loyalty
35,5,323,USA,Authority
36,2,324,USA,Purity
1,5,325,USA,Care
2,5,326,USA,Equality
3,4,327,USA,Proportionality
4,4,328,USA,Loyalty
5,4,329,USA,Authority
6,4,330,USA,Purity
7,5,331,USA,Care
8,4,332,USA,Equality
9,5,333,USA,Proportionality
10,4,334,USA,Loyalty
11,4,335,USA,Authority
12,5,336,USA,Purity
13,5,337,USA,Care
14,5,338,USA,Equality
15,5,339,USA,Proportionality
16,4,340,USA,Loyalty
17,5,341,USA,Authority
18,3,342,USA,Purity
19,5,343,USA,Care
20,5,344,USA,Equality
21,5,345,USA,Proportionality
22,4,346,USA,Loyalty
23,5,347,USA,Authority
24,3,348,USA,Purity
25,5,349,USA,Care
26,3,350,USA,Equality
27,4,351,USA,Proportionality
28,5,352,USA,Loyalty
29,5,353,USA,Authority
30,1,354,USA,Purity
31,5,355,USA,Care
32,1,356,USA,Equality
33,5,357,USA,Proportionality
34,5,358,USA,Loyalty
35,5,359,USA,Authority
36,5,360,USA,Purity
1,2,361,USA,Care
2,1,362,USA,Equality
3,4,363,USA,Proportionality
4,2,364,USA,Loyalty
5,2,365,USA,Authority
6,1,366,USA,Purity
7,3,367,USA,Care
8,1,368,USA,Equality
9,4,369,USA,Proportionality
10,1,370,USA,Loyalty
11,1,371,USA,Authority
12,1,372,USA,Purity
13,3,373,USA,Care
14,2,374,USA,Equality
15,4,375,USA,Proportionality
16,2,376,USA,Loyalty
17,1,377,USA,Authority
18,1,378,USA,Purity
19,4,379,USA,Care
20,1,380,USA,Equality
21,5,381,USA,Proportionality
22,5,382,USA,Loyalty
23,3,383,USA,Authority
24,1,384,USA,Purity
25,3,385,USA,Care
26,1,386,USA,Equality
27,4,387,USA,Proportionality
28,4,388,USA,Loyalty
29,3,389,USA,Authority
30,3,390,USA,Purity
31,1,391,USA,Care
32,1,392,USA,Equality
33,4,393,USA,Proportionality
34,2,394,USA,Loyalty
35,5,395,USA,Authority
36,1,396,USA,Purity
1,3,397,USA,Care
2,3,398,USA,Equality
3,5,399,USA,Proportionality
4,1,400,USA,Loyalty
5,3,401,USA,Authority
6,5,402,USA,Purity
7,5,403,USA,Care
8,3,404,USA,Equality
9,4,405,USA,Proportionality
10,1,406,USA,Loyalty
11,4,407,USA,Authority
12,3,408,USA,Purity
13,4,409,USA,Care
14,4,410,USA,Equality
15,5,411,USA,Proportionality
16,2,412,USA,Loyalty
17,4,413,USA,Authority
18,1,414,USA,Purity
19,5,415,USA,Care
20,2,416,USA,Equality
21,5,417,USA,Proportionality
22,1,418,USA,Loyalty
23,5,419,USA,Authority
24,1,420,USA,Purity
25,5,421,USA,Care
26,4,422,USA,Equality
27,4,423,USA,Proportionality
28,3,424,USA,Loyalty
29,4,425,USA,Authority
30,4,426,USA,Purity
31,5,427,USA,Care
32,5,428,USA,Equality
33,5,429,USA,Proportionality
34,3,430,USA,Loyalty
35,4,431,USA,Authority
36,1,432,USA,Purity
1,5,433,USA,Care
2,1,434,USA,Equality
3,2,435,USA,Proportionality
4,1,436,USA,Loyalty
5,3,437,USA,Authority
6,4,438,USA,Purity
7,5,439,USA,Care
8,1,440,USA,Equality
9,3,441,USA,Proportionality
10,2,442,USA,Loyalty
11,2,443,USA,Authority
12,1,444,USA,Purity
13,4,445,USA,Care
14,5,446,USA,Equality
15,5,447,USA,Proportionality
16,4,448,USA,Loyalty
17,1,449,USA,Authority
18,3,450,USA,Purity
19,4,451,USA,Care
20,1,452,USA,Equality
21,5,453,USA,Proportionality
22,1,454,USA,Loyalty
23,5,455,USA,Authority
24,2,456,USA,Purity
25,2,457,USA,Care
26,2,458,USA,Equality
27,4,459,USA,Proportionality
28,4,460,USA,Loyalty
29,3,461,USA,Authority
30,5,462,USA,Purity
31,3,463,USA,Care
32,1,464,USA,Equality
33,1,465,USA,Proportionality
34,5,466,USA,Loyalty
35,5,467,USA,Authority
36,1,468,USA,Purity
1,3,469,USA,Care
2,4,470,USA,Equality
3,3,471,USA,Proportionality
4,4,472,USA,Loyalty
5,5,473,USA,Authority
6,4,474,USA,Purity
7,5,475,USA,Care
8,4,476,USA,Equality
9,4,477,USA,Proportionality
10,3,478,USA,Loyalty
11,5,479,USA,Authority
12,3,480,USA,Purity
13,5,481,USA,Care
14,4,482,USA,Equality
15,3,483,USA,Proportionality
16,4,484,USA,Loyalty
17,5,485,USA,Authority
18,3,486,USA,Purity
19,4,487,USA,Care
20,3,488,USA,Equality
21,2,489,USA,Proportionality
22,4,490,USA,Loyalty
23,5,491,USA,Authority
24,2,492,USA,Purity
25,5,493,USA,Care
26,4,494,USA,Equality
27,3,495,USA,Proportionality
28,4,496,USA,Loyalty
29,5,497,USA,Authority
30,4,498,USA,Purity
31,4,499,USA,Care
32,3,500,USA,Equality
33,3,501,USA,Proportionality
34,4,502,USA,Loyalty
35,4,503,USA,Authority
36,4,504,USA,Purity
1,5,505,USA,Care
2,3,506,USA,Equality
3,5,507,USA,Proportionality
4,1,508,USA,Loyalty
5,2,509,USA,Authority
6,4,510,USA,Purity
7,5,511,USA,Care
8,1,512,USA,Equality
9,5,513,USA,Proportionality
10,2,514,USA,Loyalty
11,1,515,USA,Authority
12,5,1,USA,Purity
13,5,2,USA,Care
14,5,3,USA,Equality
15,5,4,USA,Proportionality
16,3,5,USA,Loyalty
17,1,6,USA,Authority
18,1,7,USA,Purity
19,5,8,USA,Care
20,4,9,USA,Equality
21,5,10,USA,Proportionality
22,3,11,USA,Loyalty
23,2,12,USA,Authority
24,3,13,USA,Purity
25,5,14,USA,Care
26,1,15,USA,Equality
27,5,16,USA,Proportionality
28,1,17,USA,Loyalty
29,1,18,USA,Authority
30,4,19,USA,Purity
31,5,20,USA,Care
32,2,21,USA,Equality
33,3,22,USA,Proportionality
34,3,23,USA,Loyalty
35,3,24,USA,Authority
36,5,25,USA,Purity
1,5,26,USA,Care
2,1,27,USA,Equality
3,4,28,USA,Proportionality
4,4,29,USA,Loyalty
5,3,30,USA,Authority
6,5,31,USA,Purity
7,4,32,USA,Care
8,1,33,USA,Equality
9,4,34,USA,Proportionality
10,5,35,USA,Loyalty
11,3,36,USA,Authority
12,3,37,USA,Purity
13,4,38,USA,Care
14,1,39,USA,Equality
15,4,40,USA,Proportionality
16,4,41,USA,Loyalty
17,2,42,USA,Authority
18,1,43,USA,Purity
19,4,44,USA,Care
20,1,45,USA,Equality
21,5,46,USA,Proportionality
22,5,47,USA,Loyalty
23,3,48,USA,Authority
24,1,49,USA,Purity
25,4,50,USA,Care
26,4,51,USA,Equality
27,3,52,USA,Proportionality
28,4,53,USA,Loyalty
29,4,54,USA,Authority
30,3,55,USA,Purity
31,5,56,USA,Care
32,1,57,USA,Equality
33,2,58,USA,Proportionality
34,4,59,USA,Loyalty
35,4,60,USA,Authority
36,1,61,USA,Purity
1,3,62,USA,Care
2,2,63,USA,Equality
3,3,64,USA,Proportionality
4,1,65,USA,Loyalty
5,2,66,USA,Authority
6,2,67,USA,Purity
7,3,68,USA,Care
8,2,69,USA,Equality
9,4,70,USA,Proportionality
10,1,71,USA,Loyalty
11,3,72,USA,Authority
12,1,73,USA,Purity
13,2,74,USA,Care
14,3,75,USA,Equality
15,3,76,USA,Proportionality
16,1,77,USA,Loyalty
17,1,78,USA,Authority
18,1,79,USA,Purity
19,3,80,USA,Care
20,2,81,USA,Equality
21,2,82,USA,Proportionality
22,1,83,USA,Loyalty
23,2,84,USA,Authority
24,2,85,USA,Purity
25,2,86,USA,Care
26,2,87,USA,Equality
27,2,88,USA,Proportionality
28,2,89,USA,Loyalty
29,2,90,USA,Authority
30,2,91,USA,Purity
31,2,92,USA,Care
32,2,93,USA,Equality
33,3,94,USA,Proportionality
34,2,95,USA,Loyalty
35,2,96,USA,Authority
36,2,97,USA,Purity
1,5,98,USA,Care
2,3,99,USA,Equality
3,3,100,USA,Proportionality
4,5,101,USA,Loyalty
5,5,102,USA,Authority
6,5,103,USA,Purity
7,5,104,USA,Care
8,3,105,USA,Equality
9,4,106,USA,Proportionality
10,4,107,USA,Loyalty
11,5,108,USA,Authority
12,5,109,USA,Purity
13,5,110,USA,Care
14,4,111,USA,Equality
15,5,112,USA,Proportionality
16,5,113,USA,Loyalty
17,5,114,USA,Authority
18,4,115,USA,Purity
19,5,116,USA,Care
20,3,117,USA,Equality
21,5,118,USA,Proportionality
22,5,119,USA,Loyalty
23,5,120,USA,Authority
24,4,121,USA,Purity
25,5,122,USA,Care
26,3,123,USA,Equality
27,3,124,USA,Proportionality
28,5,125,USA,Loyalty
29,5,126,USA,Authority
30,5,127,USA,Purity
31,5,128,USA,Care
32,5,129,USA,Equality
33,3,130,USA,Proportionality
34,5,131,USA,Loyalty
35,5,132,USA,Authority
36,5,133,USA,Purity
1,5,134,USA,Care
2,4,135,USA,Equality
3,4,136,USA,Proportionality
4,3,137,USA,Loyalty
5,5,138,USA,Authority
6,4,139,USA,Purity
7,3,140,USA,Care
8,5,141,USA,Equality
9,4,142,USA,Proportionality
10,1,143,USA,Loyalty
11,5,144,USA,Authority
12,3,145,USA,Purity
13,5,146,USA,Care
14,5,147,USA,Equality
15,5,148,USA,Proportionality
16,4,149,USA,Loyalty
17,3,150,USA,Authority
18,2,151,USA,Purity
19,5,152,USA,Care
20,4,153,USA,Equality
21,5,154,USA,Proportionality
22,3,155,USA,Loyalty
23,5,156,USA,Authority
24,3,157,USA,Purity
25,5,158,USA,Care
26,2,159,USA,Equality
27,1,160,USA,Proportionality
28,3,161,USA,Loyalty
29,5,162,USA,Authority
30,4,163,USA,Purity
31,5,164,USA,Care
32,2,165,USA,Equality
33,4,166,USA,Proportionality
34,5,167,USA,Loyalty
35,5,168,USA,Authority
36,5,169,USA,Purity
1,5,170,USA,Care
2,4,171,USA,Equality
3,3,172,USA,Proportionality
4,4,173,USA,Loyalty
5,4,174,USA,Authority
6,2,175,USA,Purity
7,5,176,USA,Care
8,4,177,USA,Equality
9,4,178,USA,Proportionality
10,4,179,USA,Loyalty
11,3,180,USA,Authority
12,5,181,USA,Purity
13,5,182,USA,Care
14,4,183,USA,Equality
15,3,184,USA,Proportionality
16,4,185,USA,Loyalty
17,4,186,USA,Authority
18,4,187,USA,Purity
19,5,188,USA,Care
20,4,189,USA,Equality
21,5,190,USA,Proportionality
22,3,191,USA,Loyalty
23,4,192,USA,Authority
24,5,193,USA,Purity
25,5,194,USA,Care
26,3,195,USA,Equality
27,3,196,USA,Proportionality
28,3,197,USA,Loyalty
29,4,198,USA,Authority
30,2,199,USA,Purity
31,4,200,USA,Care
32,5,201,USA,Equality
33,5,202,USA,Proportionality
34,4,203,USA,Loyalty
35,4,204,USA,Authority
36,5,205,USA,Purity
1,5,206,USA,Care
2,3,207,USA,Equality
3,4,208,USA,Proportionality
4,4,209,USA,Loyalty
5,5,210,USA,Authority
6,4,211,USA,Purity
7,4,212,USA,Care
8,3,213,USA,Equality
9,5,214,USA,Proportionality
10,4,215,USA,Loyalty
11,4,216,USA,Authority
12,4,217,USA,Purity
13,5,218,USA,Care
14,5,219,USA,Equality
15,5,220,USA,Proportionality
16,4,221,USA,Loyalty
17,4,222,USA,Authority
18,4,223,USA,Purity
19,4,224,USA,Care
20,5,225,USA,Equality
21,5,226,USA,Proportionality
22,3,227,USA,Loyalty
23,3,228,USA,Authority
24,4,229,USA,Purity
25,5,230,USA,Care
26,1,231,USA,Equality
27,5,232,USA,Proportionality
28,4,233,USA,Loyalty
29,5,234,USA,Authority
30,2,235,USA,Purity
31,5,236,USA,Care
32,4,237,USA,Equality
33,5,238,USA,Proportionality
34,5,239,USA,Loyalty
35,5,240,USA,Authority
36,5,241,USA,Purity
1,5,242,USA,Care
2,1,243,USA,Equality
3,5,244,USA,Proportionality
4,3,245,USA,Loyalty
5,5,246,USA,Authority
6,3,247,USA,Purity
7,5,248,USA,Care
8,3,249,USA,Equality
9,3,250,USA,Proportionality
10,1,251,USA,Loyalty
11,4,252,USA,Authority
12,4,253,USA,Purity
13,5,254,USA,Care
14,5,255,USA,Equality
15,5,256,USA,Proportionality
16,4,257,USA,Loyalty
17,3,258,USA,Authority
18,4,259,USA,Purity
19,5,260,USA,Care
20,3,261,USA,Equality
21,5,262,USA,Proportionality
22,5,263,USA,Loyalty
23,4,264,USA,Authority
24,1,265,USA,Purity
25,5,266,USA,Care
26,2,267,USA,Equality
27,2,268,USA,Proportionality
28,4,269,USA,Loyalty
29,4,270,USA,Authority
30,3,271,USA,Purity
31,5,272,USA,Care
32,1,273,USA,Equality
33,3,274,USA,Proportionality
34,1,275,USA,Loyalty
35,5,276,USA,Authority
36,3,277,USA,Purity
1,4,278,USA,Care
2,1,279,USA,Equality
3,4,280,USA,Proportionality
4,2,281,USA,Loyalty
5,2,282,USA,Authority
6,1,283,USA,Purity
7,4,284,USA,Care
8,1,285,USA,Equality
9,4,286,USA,Proportionality
10,3,287,USA,Loyalty
11,3,288,USA,Authority
12,4,289,USA,Purity
13,3,290,USA,Care
14,2,291,USA,Equality
15,3,292,USA,Proportionality
16,3,293,USA,Loyalty
17,2,294,USA,Authority
18,1,295,USA,Purity
19,3,296,USA,Care
20,1,297,USA,Equality
21,4,298,USA,Proportionality
22,2,299,USA,Loyalty
23,3,300,USA,Authority
24,1,301,USA,Purity
25,4,302,USA,Care
26,1,303,USA,Equality
27,3,304,USA,Proportionality
28,3,305,USA,Loyalty
29,2,306,USA,Authority
30,1,307,USA,Purity
31,3,308,USA,Care
32,2,309,USA,Equality
33,5,310,USA,Proportionality
34,3,311,USA,Loyalty
35,3,312,USA,Authority
36,2,313,USA,Purity
1,5,314,USA,Care
2,2,315,USA,Equality
3,3,316,USA,Proportionality
4,3,317,USA,Loyalty
5,3,318,USA,Authority
6,3,319,USA,Purity
7,5,320,USA,Care
8,3,321,USA,Equality
9,3,322,USA,Proportionality
10,2,323,USA,Loyalty
11,5,324,USA,Authority
12,2,325,USA,Purity
13,4,326,USA,Care
14,3,327,USA,Equality
15,5,328,USA,Proportionality
16,4,329,USA,Loyalty
17,4,330,USA,Authority
18,3,331,USA,Purity
19,5,332,USA,Care
20,4,333,USA,Equality
21,4,334,USA,Proportionality
22,3,335,USA,Loyalty
23,5,336,USA,Authority
24,2,337,USA,Purity
25,4,338,USA,Care
26,3,339,USA,Equality
27,4,340,USA,Proportionality
28,3,341,USA,Loyalty
29,4,342,USA,Authority
30,5,343,USA,Purity
31,5,344,USA,Care
32,3,345,USA,Equality
33,2,346,USA,Proportionality
34,4,347,USA,Loyalty
35,5,348,USA,Authority
36,1,349,USA,Purity
1,3,350,USA,Care
2,2,351,USA,Equality
3,4,352,USA,Proportionality
4,3,353,USA,Loyalty
5,4,354,USA,Authority
6,3,355,USA,Purity
7,2,356,USA,Care
8,1,357,USA,Equality
9,4,358,USA,Proportionality
10,4,359,USA,Loyalty
11,4,360,USA,Authority
12,3,361,USA,Purity
13,2,362,USA,Care
14,2,363,USA,Equality
15,4,364,USA,Proportionality
16,4,365,USA,Loyalty
17,4,366,USA,Authority
18,4,367,USA,Purity
19,3,368,USA,Care
20,2,369,USA,Equality
21,3,370,USA,Proportionality
22,5,371,USA,Loyalty
23,4,372,USA,Authority
24,4,373,USA,Purity
25,2,374,USA,Care
26,3,375,USA,Equality
27,5,376,USA,Proportionality
28,2,377,USA,Loyalty
29,4,378,USA,Authority
30,2,379,USA,Purity
31,3,380,USA,Care
32,2,381,USA,Equality
33,4,382,USA,Proportionality
34,4,383,USA,Loyalty
35,4,384,USA,Authority
36,3,385,USA,Purity
1,5,386,USA,Care
2,1,387,USA,Equality
3,3,388,USA,Proportionality
4,5,389,USA,Loyalty
5,5,390,USA,Authority
6,5,391,USA,Purity
7,5,392,USA,Care
8,1,393,USA,Equality
9,4,394,USA,Proportionality
10,5,395,USA,Loyalty
11,4,396,USA,Authority
12,5,397,USA,Purity
13,4,398,USA,Care
14,3,399,USA,Equality
15,4,400,USA,Proportionality
16,5,401,USA,Loyalty
17,5,402,USA,Authority
18,5,403,USA,Purity
19,5,404,USA,Care
20,1,405,USA,Equality
21,5,406,USA,Proportionality
22,5,407,USA,Loyalty
23,5,408,USA,Authority
24,3,409,USA,Purity
25,5,410,USA,Care
26,4,411,USA,Equality
27,3,412,USA,Proportionality
28,5,413,USA,Loyalty
29,5,414,USA,Authority
30,3,415,USA,Purity
31,5,416,USA,Care
32,1,417,USA,Equality
33,5,418,USA,Proportionality
34,5,419,USA,Loyalty
35,5,420,USA,Authority
36,5,421,USA,Purity
1,5,422,USA,Care
2,5,423,USA,Equality
3,5,424,USA,Proportionality
4,5,425,USA,Loyalty
5,5,426,USA,Authority
6,5,427,USA,Purity
7,5,428,USA,Care
8,5,429,USA,Equality
9,5,430,USA,Proportionality
10,5,431,USA,Loyalty
11,5,432,USA,Authority
12,3,433,USA,Purity
13,5,434,USA,Care
14,5,435,USA,Equality
15,5,436,USA,Proportionality
16,5,437,USA,Loyalty
17,5,438,USA,Authority
18,5,439,USA,Purity
19,5,440,USA,Care
20,5,441,USA,Equality
21,5,442,USA,Proportionality
22,5,443,USA,Loyalty
23,5,444,USA,Authority
24,5,445,USA,Purity
25,5,446,USA,Care
26,5,447,USA,Equality
27,5,448,USA,Proportionality
28,5,449,USA,Loyalty
29,5,450,USA,Authority
30,5,451,USA,Purity
31,5,452,USA,Care
32,2,453,USA,Equality
33,5,454,USA,Proportionality
34,5,455,USA,Loyalty
35,5,456,USA,Authority
36,5,457,USA,Purity
1,5,458,USA,Care
2,1,459,USA,Equality
3,4,460,USA,Proportionality
4,4,461,USA,Loyalty
5,3,462,USA,Authority
6,5,463,USA,Purity
7,3,464,USA,Care
8,1,465,USA,Equality
9,4,466,USA,Proportionality
10,4,467,USA,Loyalty
11,4,468,USA,Authority
12,5,469,USA,Purity
13,4,470,USA,Care
14,3,471,USA,Equality
15,4,472,USA,Proportionality
16,4,473,USA,Loyalty
17,4,474,USA,Authority
18,5,475,USA,Purity
19,3,476,USA,Care
20,1,477,USA,Equality
21,3,478,USA,Proportionality
22,4,479,USA,Loyalty
23,3,480,USA,Authority
24,5,481,USA,Purity
25,4,482,USA,Care
26,4,483,USA,Equality
27,4,484,USA,Proportionality
28,4,485,USA,Loyalty
29,4,486,USA,Authority
30,3,487,USA,Purity
31,4,488,USA,Care
32,1,489,USA,Equality
33,3,490,USA,Proportionality
34,4,491,USA,Loyalty
35,4,492,USA,Authority
36,5,493,USA,Purity
1,5,494,USA,Care
2,5,495,USA,Equality
3,4,496,USA,Proportionality
4,3,497,USA,Loyalty
5,5,498,USA,Authority
6,1,499,USA,Purity
7,5,500,USA,Care
8,4,501,USA,Equality
9,4,502,USA,Proportionality
10,4,503,USA,Loyalty
11,4,504,USA,Authority
12,1,505,USA,Purity
13,5,506,USA,Care
14,4,507,USA,Equality
15,5,508,USA,Proportionality
16,4,509,USA,Loyalty
17,4,510,USA,Authority
18,3,511,USA,Purity
19,5,512,USA,Care
20,5,513,USA,Equality
21,5,514,USA,Proportionality
22,4,515,USA,Loyalty
23,4,1,USA,Authority
24,2,2,USA,Purity
25,5,3,USA,Care
26,4,4,USA,Equality
